geoname_id,locale_code,continent_code,continent_name,country_iso_code,country_name,subdivision_1_iso_code,subdivision_1_name,subdivision_2_iso_code,subdivision_2_name,city_name,metro_code,time_zone,is_in_european_union
1795855,zh-CN,AS,亚洲,CN,中国,ZJ,浙江省,,,绍兴,,Asia/Shanghai,0
1795874,zh-CN,AS,亚洲,CN,中国,GD,广东,,,韶关市,,Asia/Shanghai,0
1796236,zh-CN,AS,亚洲,CN,中国,SH,上海,,,上海,,Asia/Shanghai,0
1796337,zh-CN,AS,亚洲,CN,中国,GS,甘肃,,,清泉,,Asia/Shanghai,0
1796341,zh-CN,AS,亚洲,CN,中国,FJ,福建省,,,山城,,Asia/Shanghai,0
1796663,zh-CN,AS,亚洲,CN,中国,FJ,福建省,,,三明市,,Asia/Shanghai,0
1796669,zh-CN,AS,亚洲,CN,中国,HA,河南,,,三门峡市,,Asia/Shanghai,0
1796989,zh-CN,AS,亚洲,CN,中国,GD,广东,,,长沙,,Asia/Shanghai,0
1797039,zh-CN,AS,亚洲,CN,中国,SC,四川省,,,茹龙,,Asia/Shanghai,0
1797063,zh-CN,AS,亚洲,CN,中国,ZJ,浙江省,,,瑞安,,Asia/Shanghai,0
1797107,zh-CN,AS,亚洲,CN,中国,JX,江西,,,蓉江,,Asia/Shanghai,0
1797120,zh-CN,AS,亚洲,CN,中国,FJ,福建省,,,福清,,Asia/Shanghai,0
1797121,zh-CN,AS,亚洲,CN,中国,GD,广东,,,揭阳,,Asia/Shanghai,0
1797122,zh-CN,AS,亚洲,CN,中国,GX,广西壮族自治区,,,容州,,Asia/Shanghai,0
1797132,zh-CN,AS,亚洲,CN,中国,SD,山东省,,,日照,,Asia/Shanghai,0
1797181,zh-CN,AS,亚洲,CN,中国,HE,河北省,,,任丘市,,Asia/Shanghai,0
1797264,zh-CN,AS,亚洲,CN,中国,ZJ,浙江省,,,衢州市,,Asia/Shanghai,0
1797318,zh-CN,AS,亚洲,CN,中国,YN,云南,,,曲靖市,,Asia/Shanghai,0
1797333,zh-CN,AS,亚洲,CN,中国,SD,山东省,,,曲阜市,,Asia/Shanghai,0
1797353,zh-CN,AS,亚洲,CN,中国,FJ,福建省,,,泉州市,,Asia/Shanghai,0
1797551,zh-CN,AS,亚洲,CN,中国,GX,广西壮族自治区,,,钦州市,,Asia/Shanghai,0
1797595,zh-CN,AS,亚洲,CN,中国,HE,河北省,,,秦皇岛,,Asia/Shanghai,0
1797658,zh-CN,AS,亚洲,CN,中国,FJ,福建省,,,晋江,,Asia/Shanghai,0
1797929,zh-CN,AS,亚洲,CN,中国,SD,山东省,,,青岛市,,Asia/Shanghai,0
1797945,zh-CN,AS,亚洲,CN,中国,GD,广东,,,清远,,Asia/Shanghai,0
1797953,zh-CN,AS,亚洲,CN,中国,SC,四川省,,,向阳,,Asia/Shanghai,0
1797972,zh-CN,AS,亚洲,CN,中国,AH,安徽,,,祁山,,Asia/Shanghai,0
1798422,zh-CN,AS,亚洲,CN,中国,HA,河南,,,濮阳城关镇,,Asia/Shanghai,0
1798425,zh-CN,AS,亚洲,CN,中国,ZJ,浙江省,,,浦阳街道,,Asia/Shanghai,0
